,software,count,rand_urls,MAIN,QA,QA_retrieval,preprint,software_paper,confidence,programming_language,repository_platform,discuss_in_paper,annotator,comments
0,Snap,16,https://www.ncbi.nlm.nih.gov/pubmed/32836482/;https://doi.org/10.1111/tesg.12430,,,,,,,,,,_ALL,
1,DICOM SandBox,1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3948175/,,,,,,,,,,_ALL,
2,ggpack,1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7589861/,,,,,,,,,,_ALL,
3,pmcmr,1,https://api.elsevier.com/content/article/pii/S0921344920304158;https://doi.org/10.1016/j.resconrec.2020.105098;https://www.ncbi.nlm.nih.gov/pubmed/32834491/;https://www.sciencedirect.com/science/article/pii/S0921344920304158?v=s5,,,,,,,,,,_ALL,
4,piStar,2,https://arxiv.org/pdf/2009.04327v2.pdf,,,,,,,,,,_ALL,
5,DiscoTope2,4,https://doi.org/10.1101/2020.05.22.111526,,,,,,,,,,_ALL,
6,Pharmanet,1,https://doi.org/10.1101/2020.10.21.348441,,,,,,,,,,_ALL,
7,GICA,1,https://www.ncbi.nlm.nih.gov/pubmed/33184753/;https://doi.org/10.1007/s10096-020-04102-4,,,,,,,,,,_ALL,
8,Social,6,https://doi.org/10.1016/j.heliyon.2020.e05410;https://www.ncbi.nlm.nih.gov/pubmed/33195843/,,,,,,,,,,_ALL,
9,PCNV,8,https://www.ncbi.nlm.nih.gov/pubmed/32485813/;https://doi.org/10.3390/ijms21113859,,,,,,,,,,_ALL,
10,Genetica,1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6201879/,,,,,,,,,,_ALL,
11,ARTLIAS,1,https://api.elsevier.com/content/article/pii/S004938482030503X;https://doi.org/10.1016/j.thromres.2020.08.045;https://www.sciencedirect.com/science/article/pii/S004938482030503X?v=s5;https://www.ncbi.nlm.nih.gov/pubmed/32906012/,,,,,,,,,,_ALL,
12,dLinto,1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7439732/,,,,,,,,,,_ALL,
13,PIQMEE,5,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7530608/,,,,,,,,,,_ALL,
