,software,count,urls
0,Snap,16,"[['https://doi.org/10.1101/2020.08.19.20178186', 'http://medrxiv.org/cgi/content/short/2020.08.19.20178186v1?rss=1'], ['https://doi.org/10.1017/cem.2020.420', 'https://www.ncbi.nlm.nih.gov/pubmed/32507123/'], ['https://arxiv.org/pdf/2004.03431v1.pdf'], ['https://www.ncbi.nlm.nih.gov/pubmed/33041502/', 'https://doi.org/10.1007/s11151-020-09790-y'], ['https://doi.org/10.1101/2020.05.15.20103473', 'http://medrxiv.org/cgi/content/short/2020.05.15.20103473v1?rss=1'], ['https://api.elsevier.com/content/article/pii/S1096286704000192', 'https://www.ncbi.nlm.nih.gov/pubmed/15179926/', 'https://www.sciencedirect.com/science/article/pii/S1096286704000192'], ['https://doi.org/10.2196/17154', 'https://www.ncbi.nlm.nih.gov/pubmed/32902395/'], ['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7313302/'], ['https://arxiv.org/pdf/2012.04142v1.pdf'], ['https://doi.org/10.1080/07391102.2021.1876774', 'https://www.ncbi.nlm.nih.gov/pubmed/33509045/'], ['https://arxiv.org/pdf/2009.09029v1.pdf'], ['https://www.ncbi.nlm.nih.gov/pubmed/33094432/', 'https://doi.org/10.1007/s00259-020-05075-4'], ['https://doi.org/10.1186/s12864-021-07377-9', 'https://www.ncbi.nlm.nih.gov/pubmed/33485319/'], ['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7167200/'], ['https://www.ncbi.nlm.nih.gov/pubmed/32836482/', 'https://doi.org/10.1111/tesg.12430'], ['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7407426/'], ['https://www.ncbi.nlm.nih.gov/pubmed/33497881/', 'https://www.sciencedirect.com/science/article/pii/S0720048X21000322?v=s5', 'https://doi.org/10.1016/j.ejrad.2021.109552', 'https://api.elsevier.com/content/article/pii/S0720048X21000322']]"
1,DICOM SandBox,1,[['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3948175/']]
2,ggpack,1,[['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7589861/']]
3,pmcmr,1,"[['https://api.elsevier.com/content/article/pii/S0921344920304158', 'https://doi.org/10.1016/j.resconrec.2020.105098', 'https://www.ncbi.nlm.nih.gov/pubmed/32834491/', 'https://www.sciencedirect.com/science/article/pii/S0921344920304158?v=s5']]"
4,piStar,2,[['https://arxiv.org/pdf/2009.04327v2.pdf']]
5,DiscoTope2,4,"[['https://www.ncbi.nlm.nih.gov/pubmed/32621841/', 'https://api.elsevier.com/content/article/pii/S0168170220303889', 'https://www.sciencedirect.com/science/article/pii/S0168170220303889?v=s5', 'https://doi.org/10.1016/j.virusres.2020.198082'], ['https://doi.org/10.1101/2020.05.22.111526']]"
6,Pharmanet,1,[['https://doi.org/10.1101/2020.10.21.348441']]
7,GICA,1,"[['https://www.ncbi.nlm.nih.gov/pubmed/33184753/', 'https://doi.org/10.1007/s10096-020-04102-4'], ['https://doi.org/10.1002/jmv.26211', 'https://www.ncbi.nlm.nih.gov/pubmed/32568413/'], ['https://www.ncbi.nlm.nih.gov/pubmed/33081702/', 'https://doi.org/10.1186/s12879-020-05489-3']]"
8,Social,6,"[['https://www.ncbi.nlm.nih.gov/pubmed/32175703/', 'https://doi.org/10.2991/jegh.k.200218.003'], ['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7538536/'], ['https://doi.org/10.1007/s11605-020-04722-3', 'https://www.ncbi.nlm.nih.gov/pubmed/32720109/'], ['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7686452/'], ['https://doi.org/10.1016/j.heliyon.2020.e05410', 'https://www.ncbi.nlm.nih.gov/pubmed/33195843/'], ['https://doi.org/10.1016/j.ijom.2020.08.007', 'https://api.elsevier.com/content/article/pii/S0901502720303234', 'https://www.sciencedirect.com/science/article/pii/S0901502720303234', 'https://www.ncbi.nlm.nih.gov/pubmed/32912655/'], ['http://medrxiv.org/cgi/content/short/2021.01.03.21249157v1?rss=1', 'https://doi.org/10.1101/2021.01.03.21249157'], ['https://www.ncbi.nlm.nih.gov/pubmed/32708231/', 'https://doi.org/10.3390/ijerph17145261'], ['https://doi.org/10.1101/2020.05.24.20112193', 'http://medrxiv.org/cgi/content/short/2020.05.24.20112193v1?rss=1'], ['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7811384/'], ['http://medrxiv.org/cgi/content/short/2020.09.05.20188847v1?rss=1'], ['http://medrxiv.org/cgi/content/short/2020.06.08.20125575v1?rss=1', 'https://doi.org/10.1101/2020.06.08.20125575'], ['https://doi.org/10.1016/j.healthplace.2020.102454', 'https://api.elsevier.com/content/article/pii/S1353829220303385', 'https://www.sciencedirect.com/science/article/pii/S1353829220303385', 'https://www.ncbi.nlm.nih.gov/pubmed/33032243/']]"
9,PCNV,8,"[['https://www.ncbi.nlm.nih.gov/pubmed/32485813/', 'https://doi.org/10.3390/ijms21113859']]"
